OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu00009	1	0.251387421721677	0.024	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Otu00021	1	0.336385038683465	0.006	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu00027	1	0.316681516064241	0.002	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
Otu00020	3	0.59243404057361	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu00022	3	0.388109714415701	0.016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_unclassified
Otu00017	4	0.482528915758282	0.023	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Otu00011	5	0.196452910590584	0.048	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Otu00019	9	0.520342951355586	0.008	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Otu00012	10	0.356785601945617	0.048	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium
Otu00013	10	0.440043299337231	0.015	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Otu00047	10	0.536105966228947	0.023	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
Otu00057	10	0.712431878886002	0.002	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified
Otu00063	10	0.539699204805618	0.002	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae_unclassified
Otu00045	12	0.429664704077778	0.005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Otu00004	13	0.298733114902306	0.002	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Otu00024	13	0.269887047631072	0.011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Stappia
Otu00030	13	0.497601658921114	0.002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu00028	14	0.512358743799769	0.01	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Otu00037	14	0.219367293925537	0.045	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
