HTSF_ID,Social Status,Pair,Day
F_Com1_D0,Communal,Non_Pair,Day_0
F_Com1_D7,Communal,Non_Pair,Day_7
F_Com1_D14,Communal,Non_Pair,Day_14
F_Com1_IP,Communal,Non_Pair,Day_IP
F_Com2_D0,Communal,Non_Pair,Day_0
F_Com2_D7,Communal,Non_Pair,Day_7
F_Com2_D14,Communal,Non_Pair,Day_14
F_Com2_IP,Communal,Non_Pair,Day_IP
F_Com3_D0,Communal,Non_Pair,Day_0
F_Com3_D7,Communal,Non_Pair,Day_7
F_Com3_D14,Communal,Non_Pair,Day_14
F_Com3_IP,Communal,Non_Pair,Day_IP
F_Com4_D0,Communal,Non_Pair,Day_0
F_Com4_D7,Communal,Non_Pair,Day_7
F_Com4_D14,Communal,Non_Pair,Day_14
F_Com4_IP,Communal,Non_Pair,Day_IP
F_Com5_D0,Communal,Non_Pair,Day_0
F_Com5_D7,Communal,Non_Pair,Day_7
F_Com5_D14,Communal,Non_Pair,Day_14
F_Com5_IP,Communal,Non_Pair,Day_IP
F_Com6_D0,Communal,Non_Pair,Day_0
F_Com6_D7,Communal,Non_Pair,Day_7
F_Com6_D14,Communal,Non_Pair,Day_14
F_Com6_IP,Communal,Non_Pair,Day_IP
F_Iso1_D0,Isolate,Non_Pair,Day_0
F_Iso1_D7,Isolate,Non_Pair,Day_7
F_Iso1_D14,Isolate,Non_Pair,Day_14
F_Iso1_IP,Isolate,Non_Pair,Day_IP
F_Iso2_D0,Isolate,Non_Pair,Day_0
F_Iso2_D7,Isolate,Non_Pair,Day_7
F_Iso2_D14,Isolate,Non_Pair,Day_14
F_Iso2_IP,Isolate,Non_Pair,Day_IP
F_Iso3_D0,Isolate,Non_Pair,Day_0
F_Iso3_D7,Isolate,Non_Pair,Day_7
F_Iso3_D14,Isolate,Non_Pair,Day_14
F_Iso3_IP,Isolate,Non_Pair,Day_IP
F_Iso4_D0,Isolate,Non_Pair,Day_0
F_Iso4_D7,Isolate,Non_Pair,Day_7
F_Iso4_D14,Isolate,Non_Pair,Day_14
F_Iso4_IP,Isolate,Non_Pair,Day_IP
F_Iso5_D0,Isolate,Non_Pair,Day_0
F_Iso5_D7,Isolate,Non_Pair,Day_7
F_Iso5_D14,Isolate,Non_Pair,Day_14
F_Iso5_IP,Isolate,Non_Pair,Day_IP
F_Iso6_D0,Isolate,Non_Pair,Day_0
F_Iso6_D7,Isolate,Non_Pair,Day_7
F_Iso6_D14,Isolate,Non_Pair,Day_14
F_Iso6_IP,Isolate,Non_Pair,Day_IP
F_P1_D0,Dominant,A,Day_0
F_P1_D7,Dominant,A,Day_7
F_P1_D14,Dominant,A,Day_14
F_P1_IP,Dominant,A,Day_IP
F_P2_D0,Subordinate,A,Day_0
F_P2_D7,Subordinate,A,Day_7
F_P2_D14,Subordinate,A,Day_14
F_P2_IP,Subordinate,A,Day_IP
F_P3_D0,Subordinate,B,Day_0
F_P3_D7,Subordinate,B,Day_7
F_P3_D14,Subordinate,B,Day_14
F_P3_IP,Subordinate,B,Day_IP
F_P4_D0,Dominant,B,Day_0
F_P4_D7,Dominant,B,Day_7
F_P4_D14,Dominant,B,Day_14
F_P4_IP,Dominant,B,Day_IP
F_P5_D0,Dominant,C,Day_0
F_P5_D7,Dominant,C,Day_7
F_P5_D14,Dominant,C,Day_14
F_P5_IP,Dominant,C,Day_IP
F_P6_D0,Subordinate,C,Day_0
F_P6_D7,Subordinate,C,Day_7
F_P6_D14,Subordinate,C,Day_14
F_P6_IP,Subordinate,C,Day_IP
F_P7_D0,Subordinate,D,Day_0
F_P7_D7,Subordinate,D,Day_7
F_P7_D14,Subordinate,D,Day_14
F_P7_IP,Subordinate,D,Day_IP
F_P8_D0,Dominant,D,Day_0
F_P8_D7,Dominant,D,Day_7
F_P8_D14,Dominant,D,Day_14
F_P8_IP,Dominant,D,Day_IP
F_P9_D0,Subordinate,E,Day_0
F_P9_D7,Subordinate,E,Day_7
F_P9_D14,Subordinate,E,Day_14
F_P9_IP,Subordinate,E,Day_IP
F_P10_D0,Dominant,E,Day_0
F_P10_D7,Dominant,E,Day_7
F_P10_D14,Dominant,E,Day_14
F_P10_IP,Dominant,E,Day_IP
F_P11_D0,Subordinate,F,Day_0
F_P11_D7,Subordinate,F,Day_7
F_P11_D14,Subordinate,F,Day_14
F_P11_IP,Subordinate,F,Day_IP
F_P12_D0,Dominant,F,Day_0
F_P12_D7,Dominant,F,Day_7
F_P12_D14,Dominant,F,Day_14
F_P12_IP,Dominant,F,Day_IP
Water_R1,Water,Non_Pair,Day_1 
Water_R2,Water,Non_Pair,Day_2
mock_positive,Pos Control,Non_Pair,Day_1
positive,Pos Control,Non_Pair,Day_1
negative,Neg Control,Non_Pair,Day_1
