"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"F_Com1_D0",64,187.5,62.0049143810989,172.098979591837,6.06311421432745
"F_Com1_D7",69,181.875,52.1384618223315,214.748625062568,10.3375234068594
"F_Com1_D14",103,142.136363636364,15.9684484285944,165.93635359116,7.80729663209336
"F_Com1_IP",50,81.625,17.9608733214682,87.9772938307066,4.66773000339363
"F_Com2_D0",146,332.47619047619,57.8255484903471,344.11404879386,10.6370273483164
"F_Com2_D7",60,307.5,131.48263355603,431.753826530612,13.0745955729572
"F_Com2_D14",70,169.166666666667,51.1855093206113,148.834144114301,7.78847962567378
"F_Com2_IP",63,125.142857142857,32.6625774590702,128.186986510603,6.71002562440244
"F_Com3_D0",101,307.625,88.7115460432622,240.584166176759,9.41996536136946
"F_Com3_D7",52,75.0769230769231,12.2305088513308,87.6207115400735,4.51559021796044
"F_Com3_D14",55,88,19.3245640445057,92.2489647885313,5.06366744496979
"F_Com3_IP",49,76.2,18.1668758012475,67.4781535781681,3.97587809558272
"F_Com4_D0",149,249.1,30.7151811022655,305.317448034636,11.8599886588385
"F_Com4_D7",123,361,80.3677464096961,351.57083245113,10.0219259282448
"F_Com4_D14",23,33.5,10.5136726900183,34.7282407407407,3.3786533586141
"F_Com4_IP",54,135.2,45.5593106573614,130.226276923077,6.1386965519879
"F_Com5_D0",77,121.4,19.6468487868265,161.966059574809,8.03826618157386
"F_Com5_D7",171,474.181818181818,86.5337726322476,492.018911198682,12.2537254719509
"F_Com5_D14",64,94.6666666666667,16.9393710104513,99.4611650485437,5.33029107013163
"F_Com5_IP",45,95,28.5117576034419,104.519592055824,5.73703428706164
"F_Com6_D0",69,139.125,34.688918578153,141.531317560833,6.57455647797409
"F_Com6_D7",143,263.12,37.7307899494433,287.276539601749,9.97468663238052
"F_Com6_D14",87,158.75,31.0958417783187,171.300903964313,7.4309480620035
"F_Com6_IP",109,220.235294117647,40.091905240711,252.466116345488,10.0154661329821
"F_Iso1_D0",132,304.117647058824,58.0600791610274,310.986956521739,11.4134669572884
"F_Iso1_D7",93,215.214285714286,46.2872635852557,237.453513758445,7.87474040427821
"F_Iso1_D14",131,217.666666666667,29.2566043410367,238.007131894399,10.2410288748456
"F_Iso1_IP",151,235.774193548387,26.6145998960562,268.409233287521,9.8914250090439
"F_Iso2_D0",112,234.214285714286,46.287741744174,233.562112831496,8.5208514912454
"F_Iso2_D7",122,325.571428571429,71.8443967964845,329.268516906362,10.7717336137379
"F_Iso2_D14",45,82.5,20.6229911785734,112.465610790025,6.83989515313112
"F_Iso2_IP",36,78.75,28.1011232423218,87.5,6.26180153856418
"F_Iso3_D0",61,107.75,21.8727332131238,134.790034540542,8.05408016776583
"F_Iso3_D7",112,239.105263157895,43.2315180990483,281.520563170963,12.3066340398425
"F_Iso3_D14",43,130,48.3646437930723,138.62411010916,2.96324702025071
"F_Iso3_IP",94,184.083333333333,37.6195080022353,179.82746186522,8.03957494163067
"F_Iso4_D7",172,410.772727272727,70.3410427333842,416.736279289991,12.6800183647221
"F_Iso4_D14",114,240.428571428571,47.6427828008678,259.841723763369,10.8473857307106
