"","Social.Status","Pair","Day","richness","shannon","simp.even","J","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"F_Com1_D0","Communal","Non_Pair","Day_0",165,1.81513681572754,0.0732870308479637,0.438107118304703,64,187.5,62.0049143810989,172.098979591837,6.06311421432745
"F_Com1_D7","Communal","Non_Pair","Day_7",298,1.48868483116978,0.0454290003869337,0.352810075294706,69,181.875,52.1384618223315,214.748625062568,10.3375234068594
"F_Com1_D14","Communal","Non_Pair","Day_14",170,1.86819543357434,0.0422881774737781,0.40393652222308,103,142.136363636364,15.9684484285944,165.93635359116,7.80729663209336
"F_Com1_IP","Communal","Non_Pair","Day_IP",136,1.57241014959831,0.0818332303337274,0.404029484701972,50,81.625,17.9608733214682,87.9772938307066,4.66773000339363
"F_Com2_D0","Communal","Non_Pair","Day_0",344,1.66713171084256,0.0214438033796978,0.334985112149421,146,332.47619047619,57.8255484903471,344.11404879386,10.6370273483164
"F_Com2_D7","Communal","Non_Pair","Day_7",188,0.348956852187065,0.0187075414901065,0.0855802937404327,60,307.5,131.48263355603,431.753826530612,13.0745955729572
"F_Com2_D14","Communal","Non_Pair","Day_14",165,2.02920413336511,0.0766782285343481,0.479252029008212,70,169.166666666667,51.1855093206113,148.834144114301,7.78847962567378
"F_Com2_IP","Communal","Non_Pair","Day_IP",196,1.23102364870359,0.0348351097966892,0.298275639670051,63,125.142857142857,32.6625774590702,128.186986510603,6.71002562440244
"F_Com3_D0","Communal","Non_Pair","Day_0",307,1.71602316687769,0.0386213059009801,0.372629696096561,101,307.625,88.7115460432622,240.584166176759,9.41996536136946
"F_Com3_D7","Communal","Non_Pair","Day_7",166,1.43275808273366,0.0600879277619996,0.364400209106149,52,75.0769230769231,12.2305088513308,87.6207115400735,4.51559021796044
"F_Com3_D14","Communal","Non_Pair","Day_14",128,1.71025566944734,0.0651327314080876,0.428744675206307,55,88,19.3245640445057,92.2489647885313,5.06366744496979
"F_Com3_IP","Communal","Non_Pair","Day_IP",122,1.09489298705437,0.0436710907967595,0.282830311308891,49,76.2,18.1668758012475,67.4781535781681,3.97587809558272
"F_Com4_D0","Communal","Non_Pair","Day_0",364,1.75956445138649,0.0216252118718808,0.3521092070922,149,249.1,30.7151811022655,305.317448034636,11.8599886588385
"F_Com4_D7","Communal","Non_Pair","Day_7",346,0.497953539818366,0.00964983824329666,0.103653488438458,123,361,80.3677464096961,351.57083245113,10.0219259282448
"F_Com4_D14","Communal","Non_Pair","Day_14",62,1.56749570949547,0.180438883991765,0.507109084766027,23,33.5,10.5136726900183,34.7282407407407,3.3786533586141
"F_Com4_IP","Communal","Non_Pair","Day_IP",135,1.45071158070119,0.0637189033947226,0.365391666982813,54,135.2,45.5593106573614,130.226276923077,6.1386965519879
"F_Com5_D0","Communal","Non_Pair","Day_0",252,1.77898067000888,0.0574074290114851,0.410780468393204,77,121.4,19.6468487868265,161.966059574809,8.03826618157386
"F_Com5_D7","Communal","Non_Pair","Day_7",442,1.44517954105416,0.0148348070489876,0.281393352711909,171,474.181818181818,86.5337726322476,492.018911198682,12.2537254719509
"F_Com5_D14","Communal","Non_Pair","Day_14",132,1.82583431636678,0.0658140418746315,0.440689100631056,64,94.6666666666667,16.9393710104513,99.4611650485437,5.33029107013163
